分组维度,亚组,样本数,阳性数,阴性数,AUC,Brier分数,备注
性别,女,485,385,100,0.8986233766233767,0.10171805054088569,稳定
性别,男,515,408,107,0.8908741066520065,0.10455508672957546,稳定
年龄组,40-49岁,206,177,29,0.9187609585037989,0.08046044880262947,稳定
年龄组,50-59岁,217,170,47,0.9346683354192741,0.08906070023767422,稳定
年龄组,60-69岁,216,158,58,0.8888040157136621,0.11640515150346194,稳定
年龄组,70-79岁,175,143,32,0.8612325174825175,0.10819071428627233,稳定
年龄组,80-89岁,186,145,41,0.8449116904962152,0.12473769918440065,稳定
痰湿体质,非痰湿体质,722,578,144,0.8944396386005382,0.101277205319012,稳定
痰湿体质,痰湿体质,278,215,63,0.8961978589885566,0.1081186400637923,稳定
