,单变量beta,发病率比RR(高/低),点二列r,互信息,多元beta,RF重要度,综合贡献度
平和质,0.07855741339254678,1.0457745893796622,0.03132835750403089,0.0,0.0824257556496825,0.13194530921680253,3.663383931502975
气虚质,0.10938199412422121,,0.04443586794919244,0.0,0.12160802748509943,0.1019021645060915,2.5523303655462293
气郁质,-0.004177945451052958,,-0.001704633994725601,0.014406546281227506,0.012260220803108521,0.11303113238308736,2.486211934426777
阳虚质,0.006997417411105549,,0.002854245955580058,0.0,0.020045363033456273,0.12484835950516576,0.7658654670479452
阴虚质,-0.007995961393910742,,-0.003263392138909452,0.00013318263693973265,0.0024781809074325128,0.11516537425905157,-0.5308049499665732
血瘀质,-0.06655616608898972,,-0.027146605892425877,0.005537366271124888,-0.0478965574636971,0.11613639694353124,-1.2477618964537553
痰湿质,-0.024564600298253532,0.9655172852664018,-0.010029102872902498,0.0,-0.008624741402256502,0.09880491676162252,-2.3156861974710274
湿热质,-0.05333622613582775,,-0.02179074790312517,0.0020812233864533347,-0.050621399036343884,0.10705589554167512,-2.485076576571898
特禀质,-0.016473777598783476,,-0.006723640882638033,0.0,-0.015149083454382102,0.09111045088297243,-2.888462078060665
