模型,模型家族,特征数,特征口径,AUC均值,AUC标准差,PR_AUC均值,PR_AUC标准差,Brier均值,Brier标准差,F1均值,F1标准差,准确率均值,精确率均值,召回率均值,AUC排序,F1排序,Brier排序,综合排序分,是否采纳,选择理由
直方梯度提升树+Sigmoid校准,hist_gbdt,27,树模型清洗口径,0.8993989054667577,0.019200790141092113,0.975495940447819,0.005077079992276247,0.10180029363412992,0.008149254754209918,0.8876074442695622,0.013897721293887692,0.8194,0.8752966026028042,0.9011368521614521,1.0,1.0,1.0,3.0,是,Brier更优且AUC未明显下降
直方梯度提升树,hist_gbdt,27,树模型清洗口径,0.8945699717087929,0.01932113219918424,0.9746083526356017,0.0049098930310301535,0.10270604459023966,0.008474591668813466,0.8805608799428923,0.013183993219544459,0.8094,0.874580965037787,0.8872573839662448,2.0,2.0,2.0,6.0,否,校准后Brier更优
