模型,模型家族,特征数,特征口径,AUC均值,AUC标准差,PR_AUC均值,PR_AUC标准差,Brier均值,Brier标准差,F1均值,F1标准差,准确率均值,精确率均值,召回率均值,AUC排序,F1排序,Brier排序,综合排序分
直方梯度提升树,hist_gbdt,27,树模型清洗口径,0.8945699717087929,0.01932113219918424,0.9746083526356017,0.0049098930310301535,0.10270604459023966,0.008474591668813466,0.8805608799428923,0.013183993219544459,0.8094,0.874580965037787,0.8872573839662448,1.0,2.0,1.0,4.0
梯度提升树,gbdt,27,树模型清洗口径,0.8897405303235195,0.022585423429424212,0.9730473317406525,0.006045364214134023,0.1081889359071358,0.009130149427517697,0.8852542102858348,0.013559562147809335,0.812,0.8575270920977816,0.9152567470742775,2.0,1.0,2.0,5.0
随机森林,rf,27,树模型清洗口径,0.8314614590207454,0.035992411016243134,0.955187032864758,0.010771321837090864,0.15496484539716213,0.011488325078727888,0.8371230382470466,0.03061477365388046,0.7598,0.9023510242825274,0.7821463259294643,3.0,4.0,3.0,10.0
极端随机树,extra_trees,27,树模型清洗口径,0.8312293457405215,0.032308844909960374,0.9528402679630064,0.011747474593210596,0.1939748679699902,0.00423789367581625,0.855723874502442,0.0200409531479284,0.7786,0.8845170704345392,0.829282700421941,4.0,3.0,4.0,11.0
Logistic回归,logistic,26,线性清洗口径,0.5939884055703637,0.03505269457784371,0.8703177862311542,0.0175746869181585,0.24852152802567432,0.010524971498551689,0.6996502654546478,0.022676528799031065,0.5883999999999999,0.829622363109998,0.6055536979539845,5.0,5.0,5.0,15.0
